date,loss of taste
2020-09-30,0.27
2020-10-01,0.37
2020-10-02,0.17
2020-10-03,0.33
2020-10-04,0.14
2020-10-05,0.32
2020-10-06,0.34
2020-10-07,0.34
2020-10-08,0.22
2020-10-09,0.2
2020-10-10,0.36
2020-10-11,0.28
2020-10-12,0.29
2020-10-13,0.33
2020-10-14,0.25
2020-10-15,0.41
2020-10-16,0.31
2020-10-17,0.25
2020-10-18,0.3
2020-10-19,0.48
2020-10-20,0.39
2020-10-21,0.35
2020-10-22,0.55
2020-10-23,0.34
2020-10-24,0.38
2020-10-25,0.52
2020-10-26,0.25
2020-10-27,0.3
2020-10-28,0.2
2020-10-29,0.23
2020-10-30,0.4
2020-10-31,0.67
2020-11-01,0.4
2020-11-02,0.43
2020-11-03,0.48
2020-11-04,0.21
2020-11-05,0.34
2020-11-06,0.45
2020-11-07,0.36
2020-11-08,0.58
2020-11-09,0.6
2020-11-10,0.46
2020-11-11,0.48
2020-11-12,0.63
2020-11-13,0.59
2020-11-14,0.91
2020-11-15,0.85
2020-11-16,0.77
2020-11-17,0.6
2020-11-18,0.59
2020-11-19,0.52
2020-11-20,0.58
2020-11-21,0.49
2020-11-22,0.72
2020-11-23,0.77
2020-11-24,0.73
2020-11-25,0.53
2020-11-26,0.67
2020-11-27,0.66
2020-11-28,0.59
2020-11-29,1.0
2020-11-30,0.65
2020-12-01,0.81
2020-12-02,0.56
2020-12-03,0.67
2020-12-04,0.76
2020-12-05,0.52
2020-12-06,0.74
2020-12-07,0.56
2020-12-08,0.59
2020-12-09,0.64
2020-12-10,0.67
2020-12-11,0.59
2020-12-12,0.81
2020-12-13,0.55
2020-12-14,0.75
2020-12-15,0.38
2020-12-16,0.66
2020-12-17,0.73
2020-12-18,0.51
2020-12-19,0.85
2020-12-20,0.64
2020-12-21,0.82
2020-12-22,0.58
2020-12-23,0.56
2020-12-24,0.7
2020-12-25,0.61
2020-12-26,0.77
2020-12-27,0.67
2020-12-28,0.87
