date,covid symptoms,loss of smell,coronavirus vaccine,covid testing
2020-09-30,0.18,0.0,0.33,0.19
2020-10-01,0.1,0.0,0.45,0.26
2020-10-02,0.47,0.0,0.0,0.27
2020-10-03,0.46,0.55,0.28,0.35
2020-10-04,0.42,0.0,0.41,0.19
2020-10-05,0.51,0.0,0.34,0.46
2020-10-06,0.58,0.0,0.11,0.39
2020-10-07,0.4,0.0,0.44,0.39
2020-10-08,0.41,0.0,0.11,0.32
2020-10-09,0.27,0.0,0.14,0.24
2020-10-10,0.34,0.0,0.16,0.2
2020-10-11,0.46,0.0,0.3,0.22
2020-10-12,0.59,0.0,0.13,0.31
2020-10-13,0.29,0.0,0.25,0.3
2020-10-14,0.31,0.26,0.13,0.32
2020-10-15,0.31,0.0,0.27,0.19
2020-10-16,0.33,0.0,0.13,0.29
2020-10-17,0.3,0.0,0.15,0.2
2020-10-18,0.27,0.0,0.15,0.25
2020-10-19,0.29,0.0,0.4,0.36
2020-10-20,0.31,0.0,0.39,0.32
2020-10-21,0.28,0.0,0.66,0.3
2020-10-22,0.37,0.0,0.0,0.22
2020-10-23,0.34,0.0,0.0,0.23
2020-10-24,0.25,0.0,0.31,0.29
2020-10-25,0.29,0.0,0.15,0.23
2020-10-26,0.44,0.0,0.13,0.42
2020-10-27,0.47,0.51,0.13,0.38
2020-10-28,0.56,0.0,0.0,0.37
2020-10-29,0.42,0.0,0.52,0.37
2020-10-30,0.39,0.0,0.14,0.4
2020-10-31,0.31,0.0,0.15,0.38
2020-11-01,0.21,0.58,0.43,0.37
2020-11-02,0.52,0.0,0.52,0.44
2020-11-03,0.28,0.0,0.0,0.34
2020-11-04,0.32,0.0,0.26,0.22
2020-11-05,0.21,0.19,0.2,0.38
2020-11-06,0.21,0.21,0.22,0.3
2020-11-07,0.4,0.25,0.13,0.29
2020-11-08,0.37,0.0,0.14,0.17
2020-11-09,0.18,0.0,0.76,0.55
2020-11-10,0.42,0.0,0.39,0.56
2020-11-11,0.4,0.0,0.39,0.59
2020-11-12,0.29,0.0,0.12,0.49
2020-11-13,0.46,0.25,0.13,0.48
2020-11-14,0.37,0.0,0.15,0.52
2020-11-15,0.56,0.0,0.71,0.42
2020-11-16,0.52,0.0,0.0,0.72
2020-11-17,0.55,0.25,0.64,0.73
2020-11-18,0.65,0.25,0.38,0.98
2020-11-19,0.34,0.25,0.13,0.83
2020-11-20,0.59,0.0,0.4,0.95
2020-11-21,0.58,0.0,0.73,0.89
2020-11-22,0.58,0.0,0.41,0.67
2020-11-23,0.53,0.25,0.12,1.0
2020-11-24,0.35,0.25,0.39,0.64
2020-11-25,0.66,0.26,0.53,0.64
2020-11-26,0.47,0.28,0.43,0.27
2020-11-27,0.62,0.0,0.27,0.54
2020-11-28,0.56,0.0,0.7,0.5
2020-11-29,0.45,0.27,0.27,0.48
2020-11-30,0.56,0.0,0.83,0.61
2020-12-01,0.65,0.0,0.25,0.72
2020-12-02,0.78,0.0,0.37,0.67
2020-12-03,1.0,0.0,0.63,0.58
2020-12-04,0.54,0.0,0.52,0.66
2020-12-05,0.71,0.0,0.27,0.42
2020-12-06,0.42,0.0,0.54,0.55
2020-12-07,0.72,0.0,1.0,0.66
2020-12-08,0.68,0.24,0.38,0.67
2020-12-09,0.67,0.0,0.38,0.45
2020-12-10,0.56,1.0,0.76,0.59
2020-12-11,0.42,0.5,0.5,0.62
2020-12-12,0.25,0.0,0.82,0.55
2020-12-13,0.48,0.27,0.7,0.45
2020-12-14,0.59,0.24,1.0,0.63
2020-12-15,0.56,0.0,0.5,0.5
2020-12-16,0.48,0.0,0.52,0.68
2020-12-17,0.22,0.0,0.8,0.5
2020-12-18,0.47,0.27,0.83,0.6
2020-12-19,0.52,0.28,0.58,0.62
2020-12-20,0.46,0.27,0.84,0.54
2020-12-21,0.62,0.51,0.26,0.77
2020-12-22,0.63,0.26,0.54,0.59
2020-12-23,0.53,0.81,0.0,0.7
2020-12-24,0.49,0.0,0.45,0.46
2020-12-25,0.53,0.0,0.49,0.33
2020-12-26,0.59,0.0,0.45,0.51
2020-12-27,0.61,0.0,0.71,0.47
2020-12-28,0.54,0.26,0.94,0.71
